amount,hour,day_of_week,merchant_category,device_type,channel,is_international,previous_tx_count,velocity_amount,is_fraud,is_night,transaction_id
2481.7809129852876,17,3,shopping,mobile,offline,0,5,1337.59240766471,0,0,TXN_000000
2422.5197371381155,15,3,shopping,pos,online,0,5,2077.2726950423394,0,0,TXN_000001
547.0660313101225,14,1,restaurant,pos,online,0,5,398.75861061539666,0,0,TXN_000002
1306.105617069626,21,5,travel,pos,offline,0,6,1436.309541921923,0,0,TXN_000003
935.4348115716514,8,0,electronics,mobile,online,0,3,788.7621403816307,0,0,TXN_000004
731.4369213082541,15,6,grocery,desktop,online,0,4,906.9793819033267,0,0,TXN_000005
455.9271940117964,16,2,grocery,pos,offline,0,7,763.5861618245938,0,0,TXN_000006
6174.942618388907,0,4,travel,mobile,online,1,6,13338.837150485439,1,1,TXN_000007
1644.9667589005387,7,3,grocery,desktop,online,0,3,4339.265379700605,0,0,TXN_000008
662.6753169063783,16,6,grocery,mobile,online,0,8,3287.961678298488,0,0,TXN_000009
891.116264985715,8,0,fuel,mobile,offline,0,5,831.7469119059101,0,0,TXN_000010
692.0209425784026,19,0,shopping,mobile,online,0,6,3973.7653030534702,0,0,TXN_000011
1460.1552650671779,9,5,grocery,mobile,online,0,6,2461.462393449191,0,0,TXN_000012
3586.2572196554597,17,0,electronics,pos,online,0,9,270.34850127021855,0,0,TXN_000013
891.6533650934424,14,5,grocery,pos,offline,0,5,1284.5420388391183,0,0,TXN_000014
1633.5015069025733,15,5,restaurant,pos,offline,0,6,383.13444082955266,0,0,TXN_000015
608.5303713098493,10,1,shopping,pos,offline,0,7,473.4798815489981,0,0,TXN_000016
444.1595656583511,19,3,grocery,pos,offline,0,11,1351.2772284098612,0,0,TXN_000017
1915.4351661739008,22,1,shopping,mobile,online,0,4,1236.4268354289316,0,1,TXN_000018
1317.2384272127729,7,2,grocery,desktop,online,0,2,2012.88283788498,0,0,TXN_000019
265.69268397477487,10,0,grocery,desktop,offline,0,5,2826.478522158015,0,0,TXN_000020
380.03369883703755,19,4,fuel,mobile,online,0,3,3920.8688925567467,0,0,TXN_000021
3893.4452132596166,18,1,shopping,mobile,offline,0,6,1627.5419179531195,0,0,TXN_000022
1262.358105121751,10,2,grocery,desktop,online,0,4,1519.6630575283957,0,0,TXN_000023
